elapsed time,receive time,header.stamp,topic,value
5.696890578,1683484693.369885191,,/pitch_error.data,-0.5372808563709259
5.718018931,1683484693.391013544,,/pitch_error.data,-0.4984744030237198
5.741058379,1683484693.414052992,,/pitch_error.data,-0.45879471182823184
5.762312269,1683484693.435306882,,/pitch_error.data,-0.40594161927700045
5.781922107,1683484693.454916720,,/pitch_error.data,-0.3649079564213753
5.802573302,1683484693.475567915,,/pitch_error.data,-0.31938578069210055
5.813385274,1683484693.486379887,,/pitch_error.data,-0.25871293127536776
5.8379465,1683484693.510941113,,/pitch_error.data,-0.2133835914731026
5.857826902,1683484693.530821515,,/pitch_error.data,-0.16364729285240176
5.878146925,1683484693.551141538,,/pitch_error.data,-0.09502053141593936
5.901898093,1683484693.574892706,,/pitch_error.data,-0.04697134971618655